timestamp,actual_TCP_pose_x,actual_TCP_pose_y,actual_TCP_pose_z,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,target x,target y,target z
2349.001,-0.003048,-0.33462,0.109004,0.04657,-3.12405,0.019662,-0.003052668,-0.334620435,-0.025
2350.001,-0.003065,-0.334618,0.109001,0.046516,-3.124022,0.019606,-0.003052668,-0.334620435,0.025
2351.001,0.001371,-0.325949,0.107463,0.081114,-3.123914,0.022466,-0.003052668,-0.334620435,0.025
2352.001,-0.003939,-0.329038,0.10881,0.049725,-3.122485,-0.004479,-0.003052668,-0.334620435,0.025
2353.001,-0.003923,-0.329049,0.108915,0.049002,-3.122528,-0.004226,-0.003052668,-0.334620435,0.025
2354.001,-0.000442,-0.325609,0.110538,0.037759,-3.130002,-0.008409,-0.003052668,-0.334620435,0.025
2355.001,-0.015327,-0.301202,0.113039,-0.041466,3.13099,0.04987,-0.003052668,-0.334620435,0.025
2356.001,-0.01582,-0.29868,0.121074,-0.065427,3.098853,0.023958,-0.003052668,-0.334620435,0.025
2357.001,-0.015968,-0.298547,0.1212,-0.065909,3.099442,0.023159,-0.003052668,-0.334620435,0.025
2358.001,-0.019969,-0.274258,0.11765,-0.10185,3.122885,0.02578,-0.003052668,-0.334620435,0.025
2359.001,-0.02331,-0.249858,0.126562,-0.143512,3.104691,0.016362,-0.003052668,-0.334620435,0.025
2360.001,-0.026424,-0.22552,0.123689,-0.261823,3.118416,0.016457,-0.003052668,-0.334620435,0.025
2361.001,-0.026374,-0.225451,0.123611,-0.26208,3.118245,0.016742,-0.003052668,-0.334620435,0.025
2362.001,-0.021799,-0.21813,0.12674,-0.284902,3.119351,0.019538,-0.003052668,-0.334620435,0.025
2363.001,-0.022462,-0.223818,0.121916,0.225543,-3.125935,-0.046218,-0.003052668,-0.334620435,0.025
2364.001,-0.020566,-0.199413,0.141721,0.329094,-3.123262,-0.059729,-0.003052668,-0.334620435,0.025
2365.001,-0.023647,-0.196749,0.144191,-0.309197,3.124497,0.09144,-0.003052668,-0.334620435,0.025
2366.001,-0.023644,-0.196762,0.144228,-0.309315,3.1245,0.09152,-0.003052668,-0.334620435,0.025
2367.001,-0.030756,-0.199926,0.138781,-0.25246,3.084008,0.129461,-0.003052668,-0.334620435,0.025
2368.001,-0.027257,-0.192608,0.141912,-0.275063,3.079566,0.118607,-0.003052668,-0.334620435,0.025
2369.001,-0.027263,-0.192607,0.141913,-0.274981,3.079563,0.118603,-0.003052668,-0.334620435,0.025
2370.001,-0.027269,-0.192603,0.141912,-0.275001,3.079583,0.118629,-0.003052668,-0.334620435,0.025
2371.001,-0.023759,-0.185286,0.145043,-0.192439,3.125477,0.162706,-0.003052668,-0.334620435,0.025
2372.001,-0.021731,-0.183197,0.149842,-0.17298,3.114993,0.162159,-0.003052668,-0.334620435,0.025
2373.001,-0.021734,-0.183207,0.149885,-0.172965,3.115041,0.161956,-0.003052668,-0.334620435,0.025
2374.001,-0.015411,-0.182879,0.146154,-0.147411,3.122705,0.139053,-0.003052668,-0.334620435,0.025
2375.001,-0.017008,-0.184301,0.149753,-0.141424,3.120606,0.124128,-0.003052668,-0.334620435,0.025
2376.001,-0.014996,-0.178916,0.156931,-0.120326,3.12258,0.105999,-0.003052668,-0.334620435,0.025
2377.001,-0.010463,-0.171615,0.159145,-0.153496,3.123932,0.097255,-0.003052668,-0.334620435,0.025
2378.001,-0.01034,-0.17143,0.159393,-0.154491,3.123587,0.09665,-0.003052668,-0.334620435,0.025
2379.001,-0.008443,-0.168177,0.16695,-0.176218,3.120158,0.077771,-0.003052668,-0.334620435,0.025
2380.001,-0.001591,-0.166675,0.163367,-0.174405,3.109072,0.080612,-0.003052668,-0.334620435,0.025
2381.001,-0.001316,-0.14362,0.159478,-0.252924,3.123823,0.098599,-0.003052668,-0.334620435,0.025
2382.001,-0.010312,-0.141273,0.161133,-0.211312,3.080822,0.068635,-0.003052668,-0.334620435,0.025
2383.001,-0.011507,-0.140964,0.161365,-0.206032,3.074962,0.064636,-0.003052668,-0.334620435,0.025
2384.001,-0.012735,-0.126795,0.168384,-0.223934,3.050567,0.011784,-0.003052668,-0.334620435,0.025
2385.001,-0.012749,-0.126825,0.168385,-0.223796,3.050604,0.011628,-0.003052668,-0.334620435,0.025
2386.001,-0.012752,-0.126805,0.168387,-0.223726,3.050622,0.01173,-0.003052668,-0.334620435,0.025
