timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_current_0,actual_current_1,actual_current_2,actual_current_3,actual_current_4,actual_current_5
2442.529000,1.161536,-1.538593,1.545569,-1.597672,-1.574341,-0.427635,-0.003045,-0.334618,0.109003,0.046575,-3.124047,0.019646,0.007403,-0.908785,-1.339189,-0.626373,-0.065563,0.090936
2443.529000,1.161521,-1.538590,1.545554,-1.597650,-1.574364,-0.427596,-0.003055,-0.334613,0.109005,0.046491,-3.124032,0.019616,-0.001961,-0.927508,-1.340814,-0.619951,-0.049692,0.093164
2444.529000,1.145458,-1.492594,1.508353,-1.616310,-1.561524,-0.405508,-0.010642,-0.348766,0.107421,-0.012700,-3.132351,0.042162,-0.150611,-0.888255,-1.432335,-0.688757,0.084403,0.017680
2445.529000,1.136046,-1.488141,1.497065,-1.609364,-1.558331,-0.413523,-0.013563,-0.349996,0.108786,-0.014894,-3.135058,0.043959,-0.689680,-0.539863,-1.784407,-0.316760,0.184482,-0.457160
2446.529000,1.090480,-1.463159,1.440235,-1.572417,-1.543063,-0.452481,-0.027823,-0.355043,0.114604,0.025333,3.132469,-0.047033,-0.098711,-0.877792,-1.484967,-0.443925,0.125080,-0.092659
2447.529000,1.047965,-1.395691,1.377787,-1.570807,-1.522862,-0.467435,-0.044985,-0.368894,0.110871,0.067916,3.111179,-0.053164,-0.166902,-0.887977,-1.482489,-0.411068,0.165750,-0.173156
2448.529000,1.056203,-1.339535,1.333467,-1.597480,-1.538368,-0.417848,-0.054229,-0.382561,0.106845,0.132778,3.128049,-0.062470,0.168549,-0.970703,-1.492560,-0.671575,-0.149882,0.224630
2449.529000,1.044040,-1.274004,1.257907,-1.600620,-1.550465,-0.386233,-0.071300,-0.396780,0.106055,-0.201794,-3.128508,0.073034,-0.191031,-1.114688,-1.473686,-0.700945,-0.109419,0.080127
2450.529000,1.021161,-1.316951,1.272028,-1.564238,-1.549248,-0.437097,-0.073839,-0.384583,0.114281,-0.158447,-3.133788,0.062849,-0.385879,-2.068624,-0.897475,-0.078100,0.179658,-0.554374
2451.529000,0.997787,-1.358338,1.282417,-1.525425,-1.548419,-0.488952,-0.076130,-0.372367,0.122438,-0.114307,-3.138709,0.052412,-0.107667,-1.341830,-1.009218,-0.555791,0.055072,-0.143051
2452.529000,0.994928,-1.306309,1.230694,-1.543074,-1.548840,-0.444361,-0.086448,-0.386618,0.121058,-0.187977,-3.126927,0.076029,-0.089808,-1.033224,-1.499734,-0.633602,-0.054870,0.141162
2453.529000,0.954590,-1.283455,1.146018,-1.491185,-1.508401,-0.599914,-0.096790,-0.394836,0.134013,0.006237,3.124283,-0.122873,-0.147309,-1.334880,-1.502805,-0.463705,0.107295,-0.184759
2454.529000,0.933722,-1.229370,1.074871,-1.471392,-1.494986,-0.587714,-0.108549,-0.404038,0.133559,0.057550,3.110875,-0.131236,-0.155322,-1.181767,-1.695313,-0.171677,0.244805,0.224116
2455.529000,0.924596,-1.203105,1.039611,-1.460847,-1.488751,-0.581549,-0.113956,-0.408301,0.133234,0.081189,3.104170,-0.134771,-0.158254,-1.151597,-1.438895,-0.523467,0.113435,0.075453
2456.529000,0.894580,-1.185080,0.994646,-1.447057,-1.491247,-0.653890,-0.131118,-0.409531,0.138545,0.015152,3.118895,-0.151759,-0.128955,-1.144121,-1.472387,-0.589167,-0.051988,-0.118977
2457.529000,0.900399,-1.109389,0.884557,-1.412331,-1.506040,-0.605721,-0.141440,-0.419689,0.137927,0.082940,3.127221,-0.137716,0.134813,-1.213275,-1.480541,-0.654467,-0.128220,0.196894
2458.529000,0.897912,-1.121923,0.910415,-1.422923,-1.506344,-0.615841,-0.140757,-0.417010,0.136201,0.070951,3.126894,-0.134005,-0.129442,-1.866473,-0.937245,-0.725038,-0.111368,-0.130006
2459.529000,0.875505,-1.044757,0.734077,-1.322870,-1.478705,-0.577113,-0.151047,-0.427108,0.148369,0.165289,3.098328,-0.157477,-0.087457,-1.226485,-1.489596,-0.431674,0.145759,0.086629
2460.529000,0.876810,-0.998624,0.661372,-1.299275,-1.479386,-0.555405,-0.156151,-0.433834,0.148213,0.197302,3.097208,-0.160312,0.179662,-0.946935,-1.774367,-0.268624,-0.074274,0.392893
2461.529000,0.878727,-0.937262,0.561699,-1.264092,-1.480401,-0.529080,-0.162169,-0.441939,0.147758,0.235767,3.095245,-0.163049,0.113624,-1.393537,-1.390018,-0.509556,-0.042269,0.093524
2462.529000,0.882283,-0.775487,0.225438,-1.103204,-1.487005,-0.475385,-0.173154,-0.454434,0.156670,0.316698,3.096605,-0.175037,0.130298,-1.396992,-1.365087,-0.450387,-0.059399,0.245943
2463.529000,0.880910,-0.852024,0.352253,-1.130082,-1.504902,-0.519205,-0.168363,-0.439618,0.157354,0.252715,3.109127,-0.129830,-0.187319,-1.823426,-0.921374,-0.611743,-0.055540,-0.009781
